,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
325,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,61.705658,58.104523,43.649658,40.253265,7.430084,6.694534,1.224294
326,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,52.454285,51.094696,29.043427,28.061127,8.929276,7.137497,1.600366
327,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,58.027466,54.279816,41.186615,37.611649,6.870575,6.360352,1.142015
328,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.639465,49.57486,28.540451,27.833008,8.604095,6.922836,1.508439
329,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,61.127045,57.07019,43.463226,39.749786,7.56601,6.083923,1.192447
330,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,61.052124,56.973282,43.423309,39.594452,7.20488,6.299286,1.194139
331,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.602142,49.51651,28.508469,27.761383,8.579239,6.976761,1.508646
332,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,53.072372,51.459412,29.685837,28.395432,8.625641,7.458252,1.600125
333,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,58.789642,55.41275,41.802841,38.541901,6.690521,6.624039,1.153322
334,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,88.185013,75.782684,57.733643,46.055695,9.786804,8.438293,2.095448
335,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,51.269608,51.302582,28.365265,28.678818,8.429245,7.526611,1.567807
336,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,49.710373,48.996964,27.982635,27.71431,8.514954,6.613525,1.478832
337,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,51.017044,51.019363,28.54274,28.815628,8.469955,7.513489,1.537942
338,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,51.183395,50.013321,28.664536,27.877502,8.77774,7.034302,1.537775
339,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,60.940247,57.853226,43.051956,40.440094,7.881348,5.719513,1.204161
340,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,56.490814,55.040085,39.867981,38.660858,7.019669,6.149033,1.122841
341,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,57.929153,56.968079,40.923828,40.117477,6.898849,6.600143,1.152448
342,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,61.873993,58.06839,43.964142,40.344193,7.387939,6.68634,1.214087
343,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,51.740616,50.698151,29.072815,28.321655,8.493484,7.327011,1.549466
344,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,52.213074,50.993332,29.183823,28.406403,8.999191,7.027451,1.569749
345,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.590012,51.035645,28.273254,29.159454,8.925827,6.961899,1.51869
346,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,58.987778,54.777908,41.824356,37.797852,6.822113,6.496277,1.163829
347,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,51.327133,50.133148,28.730148,27.992859,9.013504,6.952744,1.538098
348,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,59.761108,58.57225,42.515747,41.36203,6.774612,7.027267,1.171811
349,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,61.165466,57.563202,43.009262,39.841324,7.962967,5.975159,1.222951
350,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,51.783951,50.766449,29.094009,28.428329,8.677994,7.141586,1.549321
351,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,60.124786,56.652771,42.544159,39.245071,7.076996,6.579941,1.192845
352,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,51.224701,51.554123,28.603027,29.137131,8.161804,7.718506,1.549288
353,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,59.332825,55.669907,42.175095,38.689606,6.911438,6.592789,1.163379
354,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,59.065903,56.111069,41.86322,39.169785,7.185837,6.281479,1.162329
355,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,49.908401,50.013977,28.014084,28.360382,8.118683,7.42543,1.497248
356,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,52.549179,51.379974,29.20282,28.544891,9.106934,6.788422,1.590058
357,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,59.597626,56.089981,42.211334,39.07901,7.496368,5.904099,1.171916
